Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,1705,3034,2500,2500,4,0.002,91220,2501,26863.73531
1,1308,8259,2500,2500,4,0.002,92048,2501,23607.364798
2,6473,2757,2500,2500,4,0.002,92800,2501,24720.309499
3,8673,1294,2500,2500,4,0.002,92492,2501,25820.54744
4,8475,8466,2500,2500,4,0.002,89488,2501,24863.285725
5,153,9819,2500,2500,4,0.002,92768,2501,25936.18596
6,469,4597,2500,2500,4,0.002,92120,2501,25188.937206
7,6528,4359,2500,2500,4,0.002,91844,2501,26789.784818
8,127,4185,2500,2500,4,0.002,88420,2501,23679.682378
9,1999,3222,2500,2500,4,0.002,90392,2501,23528.810398
