Número de prueba,Seed centros:,Seed gasolineras,Steps,Stiter,K,Lamb,Beneficio,Nodos expandidos,Tiempo de ejecución
0,5488,3924,2500,500,4,0.002,93484,2501,28517.599359
1,4858,7792,2500,500,4,0.002,91632,2501,23252.753019
2,3794,4941,2500,500,4,0.002,91540,2501,25697.306738
3,9424,8178,2500,500,4,0.002,92200,2501,28891.657459
4,7502,5771,2500,500,4,0.002,92568,2501,27439.584908
5,7115,5638,2500,500,4,0.002,91540,2501,25719.895921
6,1610,4539,2500,500,4,0.002,92104,2501,24950.212939
7,3591,2729,2500,500,4,0.002,92548,2501,26308.426341
8,2193,7630,2500,500,4,0.002,92588,2501,24571.862701
9,6862,435,2500,500,4,0.002,92852,2501,29476.42628
